table_name,pos,column_name,data_type,udt_name,max_length,numeric_precision,numeric_scale,is_nullable,column_default,constraints,fk_references
app_config,1,key,text,text,null,null,null,NO,null,PRIMARY KEY,null
app_config,2,value,text,text,null,null,null,YES,null,null,null
app_config,3,description,text,text,null,null,null,YES,null,null,null
app_config,4,updated_at,timestamp with time zone,timestamptz,null,null,null,YES,now(),null,null
appointments,1,id,uuid,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
appointments,2,created_at,timestamp with time zone,timestamptz,null,null,null,YES,now(),null,null
appointments,3,knumber,text,text,null,null,null,NO,null,FOREIGN KEY,clients.knumber
appointments,4,appointmenttime,timestamp with time zone,timestamptz,null,null,null,NO,null,null,null
appointments,5,pickuptime,timestamp with time zone,timestamptz,null,null,null,NO,null,null,null
appointments,6,locationname,text,text,null,null,null,YES,null,null,null
appointments,7,locationaddress,text,text,null,null,null,YES,null,null,null
appointments,8,notes,text,text,null,null,null,YES,null,null,null
appointments,9,transittime,integer,int4,null,32,0,YES,null,null,null
appointments,10,appointmentstatus,text,text,null,null,null,YES,null,null,null
appointments,11,custom_rate,numeric,numeric,null,null,null,YES,null,null,null
appointments,12,maptraveltime,integer,int4,null,32,0,YES,null,null,null
appointments,15,google_maps_success,boolean,bool,null,null,null,YES,true,null,null
appointments,16,google_maps_error,text,text,null,null,null,YES,null,null,null
appointments,21,is_existing,boolean,bool,null,null,null,YES,false,null,null
appointments,23,driver_assigned,integer,int4,null,32,0,YES,null,FOREIGN KEY,drivers.id
appointments,24,driver_email,text,text,null,null,null,YES,null,null,null
appointments,27,driver_calendar_event_id,text,text,null,null,null,YES,null,null,null
appointments,28,client_notification_sent,boolean,bool,null,null,null,YES,false,null,null
appointments,29,driver_notification_sent,boolean,bool,null,null,null,YES,false,null,null
appointments,30,reminder_sent_client,boolean,bool,null,null,null,YES,false,null,null
appointments,31,reminder_sent_driver,boolean,bool,null,null,null,YES,false,null,null
appointments,32,notification_status,jsonb,jsonb,null,null,null,YES,'{}'::jsonb,null,null
appointments,33,scheduling_notes,text,text,null,null,null,YES,null,null,null
appointments,34,preferred_driver,integer,int4,null,32,0,YES,null,FOREIGN KEY,drivers.id
appointments,35,tripdistance,integer,int4,null,32,0,YES,null,null,null
appointments,36,clinic_id,integer,int4,null,32,0,YES,null,FOREIGN KEY,destinations.id
appointments,37,this_appointment_length,integer,int4,null,32,0,YES,120,null,null
appointments,38,google_calendar_last_synced,timestamp with time zone,timestamptz,null,null,null,YES,null,null,null
appointments,39,google_calendar_sync_error,text,text,null,null,null,YES,null,null,null
appointments,40,appointmentStatusUpdated,timestamp with time zone,timestamptz,null,null,null,YES,null,null,null
appointments,41,dropOffTime,timestamp with time zone,timestamptz,null,null,null,YES,null,null,null
appointments,42,reminder_1h_sent_at,timestamp with time zone,timestamptz,null,null,null,YES,null,null,null
appointments,43,reminder_1h_error,text,text,null,null,null,YES,null,null,null
appointments,44,driver_first_name,text,text,null,null,null,YES,null,null,null
appointments,45,operation_status,text,text,null,null,null,NO,null,null,null
appointments,46,invoice_status,text,text,null,null,null,YES,'not_ready'::text,null,null
appointments,47,deleted_at,timestamp with time zone,timestamptz,null,null,null,YES,null,null,null
appointments,48,cancelled_at,timestamp with time zone,timestamptz,null,null,null,YES,null,null,null
appointments,49,driver_paid_at,timestamp with time zone,timestamptz,null,null,null,YES,null,null,null
appointments,50,booking_agent_paid_at,timestamp with time zone,timestamptz,null,null,null,YES,null,null,null
appointments,51,invoice_created_at,timestamp with time zone,timestamptz,null,null,null,YES,null,null,null
appointments,52,invoice_sent_at,timestamp with time zone,timestamptz,null,null,null,YES,null,null,null
appointments,53,payment_received_at,timestamp with time zone,timestamptz,null,null,null,YES,null,null,null
appointments,54,cancelled_by,integer,int4,null,32,0,YES,null,FOREIGN KEY,users.id
appointments,55,cancellation_reason,text,text,null,null,null,YES,null,null,null
appointments,56,deleted_by,integer,int4,null,32,0,YES,null,FOREIGN KEY,users.id
appointments,57,pickup_address,text,text,null,null,null,YES,null,null,null
appointments,58,managed_by,integer,int4,null,32,0,YES,null,FOREIGN KEY,users.id
appointments,59,managed_by_name,text,text,null,null,null,YES,null,null,null
appointments,60,driver_instructions,text,text,null,null,null,YES,null,null,null
appointments,61,invoice_id,uuid,uuid,null,null,null,YES,null,FOREIGN KEY,invoices.id
appointments,62,driver_mileage,numeric,numeric,null,null,null,YES,null,null,null
appointments,63,reminder_night_before_sent,boolean,bool,null,null,null,YES,false,null,null
appointments,64,reminder_night_before_sent_at,timestamp with time zone,timestamptz,null,null,null,YES,null,null,null
appointments,65,reminder_night_before_error,text,text,null,null,null,YES,null,null,null
appointments,66,driver_total_distance,numeric,numeric,null,8,2,YES,null,null,null
audit_logs,1,id,integer,int4,null,32,0,NO,nextval('audit_logs_id_seq'::regclass),PRIMARY KEY,null
audit_logs,2,timestamp,timestamp with time zone,timestamptz,null,null,null,NO,now(),null,null
audit_logs,3,user_id,integer,int4,null,32,0,YES,null,FOREIGN KEY,users.id
